Chemical name 	CAS RN	smiles	End Points (pLC50,mg/L )	End Points (LC50,mg/L )	End points annotation	Species	Reference	html
2-Ethoxyethyl acetate	111-15-9	CC(=O)OCCOCC	1.624282096	42.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Bromohexane	111-25-1	BrCCCCCC	0.537819095	3.45	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexylamine	111-26-2	CCCCCCN	1.752816431	56.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethanolamine	111-42-2	OCCNCCO	3.673020907	4710	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Hydroxyethyl ether	111-46-6	OCCOCCO	4.876217841	75200	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
n-Propyl sulfide	111-47-7	CCCSCCC	1.336459734	21.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
n-Heptylamine	111-68-2	CCCCCCCN	1.338456494	21.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,4-Dicyanobutane	111-69-3	N#CCCCCC#N	3.285557309	1930	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Heptanol	111-70-6	CCCCCCCO	1.537819095	34.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Bromooctane	111-83-1	BrCCCCCCCC	-0.076755981	0.838	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Octylamine	111-86-4	CCCCCCCCN	0.715167358	5.19	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Octanol	111-87-5	CCCCCCCCO	1.130333768	13.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-(2-Ethoxyethoxy)ethanol	111-90-0	CCOCCOCCO	4.423245874	26500	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Nonanoic acid	112-05-0	CCCCCCCCC(=O)O	2.017033339	104	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Undecanone	112-12-9	CCCCCCCCCC(=O)C	0.176091259	1.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Nonylamine	112-20-9	CCCCCCCCCN	0.334453751	2.16	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Triethylene glycol	112-27-6	OCCOCCOCCO	4.838219222	68900	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Decanol	112-30-1	CCCCCCCCCCO	0.380211242	2.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propoxur (Baygon)	114-26-1	CC(C)OC1=CC=CC=C1OC(=O)NC	0.944482672	8.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methyl-3-butyn-2-ol	115-19-5	CC(O)(C)C#C	3.517195898	3290	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,2,2-Trichloroethanol	115-20-8	C(Cl)(Cl)(Cl)CO	2.475671188	299	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dicofol (kelthane)	115-32-2	OC(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl	-0.219682688	0.603	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Triphenyl phosphate	115-86-6	C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2)OC3=CC=CC=C3	-0.060480747	0.87	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Aldicarb	116-06-3	CC(C=NOC(=O)NC)(SC)C	-0.064996849	0.861	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Phenyl salicylate	118-55-8	C1=CC=CC(O)=C1C(=O)OC2=CC=CC=C2	0.071882007	1.18	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethyl salicylate	118-61-6	C1=CC=CC(O)=C1C(=O)OCC	1.305351369	20.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4,6-Tribromophenol	118-79-6	OC1=C(Br)C=C(Br)C=C1Br	0.815577748	6.54	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Amino-2-nitrophenol	119-34-6	OC1=C(C=C(C=C1)N)[N+](=O)[O-]	1.558708571	36.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Benzophenone	119-61-9	C1=CC=CC=C1C(=O)C2=CC=CC=C2	1.167317335	14.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N-Phenyldiethanolamine	120-07-0	C1=CC=CC=C1N(CCO)CCO	2.866287339	735	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-(Diethylamino)benzaldehyde	120-21-8	C1=CC(=CC=C1C=O)N(CC)CC	1.378397901	23.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Catechol	120-80-9	OC1=C(C=CC=C1)O	0.964730921	9.22	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,2,4-Trichlorobenzene	120-82-1	ClC1=C(Cl)C=C(Cl)C=C1	0.475671188	2.99	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dichlorophenol	120-83-2	ClC1=C(C=CC(=C1)Cl)O	0.889301703	7.75	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dinitrotoluene	121-14-2	CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]	1.385606274	24.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Ethoxy-4-hydroxybenzaldehyde	121-32-4	O=CC1=CC(OCC)=C(O)C=C1	1.942504106	87.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Vanillin	121-33-5	C1(C=O)=CC(OC)=C(O)C=C1	1.923244019	83.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Dimethylaniline	121-69-7	CN(C1=CC=CC=C1)C	1.80685803	64.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Chloro-3-nitrobenzene	121-73-3	ClC1=CC([N+](=O)[O-])=CC=C1	1.274157849	18.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Chloro-4-nitroaniline	121-87-9	NC1=C(Cl)C=C([N+]([O-])=O)C=C1	1.303196057	20.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Isopropyl benzaldehyde	122-03-2	C1(C=O)=CC=C(C(C)C)C=C1	0.820857989	6.62	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diphenylamine	122-39-4	C1=CC=CC=C1NC2=CC=CC=C2	0.57863921	3.79	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Phenoxyethanol	122-99-6	C1=CC=CC=C1OCCO	2.536558443	344	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Ethylphenol	123-07-9	OC1=CC=C(CC)C=C1	1.017033339	10.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Methylvaleraldehyde	123-15-9	CC(C=O)CCC	1.274157849	18.8	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Pentanedione	123-54-6	CC(=O)CC(=O)C	2.130333768	135	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethyl hexanoate	123-66-0	CCCCCC(=O)OCC	0.949390007	8.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Butanal	123-72-8	CCCC=O	1.167317335	14.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Butyl acetate	123-86-4	CC(=O)OCCCC	1.255272505	18	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,4-Dioxane	123-91-1	C1COCCO1	4.012837225	10300	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dodecylamine	124-22-1	CCCCCCCCCCCCN	-0.987162775	0.103	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tributyl phosphate	126-73-8	CCCCOP(=O)(OCCCC)OCCCC	0.976808337	9.48	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5,5-Dimethyl-1,3-cyclohexanedione	126-81-8	O=C(CC(=O)C1)CC1(C)C	4.06069784	11500	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Chloro-2-propanol	127-00-4	OC(C)CCl	2.389166084	245	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Tetrachloroethylene	127-18-4	ClC(=C(Cl)Cl)Cl	1.217483944	16.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Phenyl-3-butyn-2-ol	127-66-2	CC(C1=CC=CC=C1)(O)C#C	2.053078443	113	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,6-Di-tert-butyl-4-methylphenol	128-37-0	OC1=C(C=C(C=C1C(C)(C)C)C)C(C)(C)C	-0.440093375	0.363	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Saccharin sodium salt hydrate	82385-42-0	O=S(C1=CC=CC=C1C(N2)=O)2=O	4.26245109	18300	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dibenzofuran	132-64-9	C1=CC=CC2C3=CC=CC=C3OC1=2	0.176091259	1.5	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Phenyl 4-aminosalicylate	133-11-9	C1=CC=CC=C1OC(=O)C2=C(O)C=C(N)C=C2	0.677606953	4.76	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
N,N-Diethyl-m-toluamide	134-62-3	CCN(CC)C(=O)C1=CC=CC(C)=C1	2.041392685	110	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Propionic acid, sodium salt	137-40-6	CCC(O)=O	3.680335513	4790	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-(2-Aminoethyl)piperazine	140-31-8	NCCN1CCNCC1	3.340444115	2190	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Dibutyl succinate	141-03-7	CCCCOC(=O)CCC(=O)OCCCC	0.649334859	4.46	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diethyl adipate	141-28-6	CCOC(=O)CCCCC(=O)OCC	1.255272505	18	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Aminoethanol	141-43-5	OCCN	3.315970345	2070	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Ethyl acetate	141-78-6	CC(=O)OCC	2.361727836	230	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,6-Dimethyl morpholine	141-91-3	N1CC(C)OC(C)C1	2.587710965	387	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
m-Diethylbenzene	141-93-5	CCC1=CC(CC)=CC=C1	0.618048097	4.15	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,3-Dichloropropane	142-28-9	ClCCCCl	2.045322979	111	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexanoic acid	142-62-1	CCCCCC(O)=O	2.505149978	320	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Hexyl acetate	142-92-7	CC(=O)OCCCCCC	0.643452676	4.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Butyl ether	142-96-1	CCCCOCCCC	1.509202522	32.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Nonanol	143-08-8	CCCCCCCCCO	0.755874856	5.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Di-n-hexylamine	143-16-8	CCCCCCNCCCCCC	-0.107905397	0.78	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
o-Vanillin	148-53-8	C1(C=O)=C(O)C(OC)=CC=C1	0.380211242	2.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Methoxyphenol	150-19-6	OC1=CC(OC)=CC=C1	1.86923172	74	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Methoxyphenol	150-76-5	COC1=CC=C(C=C1)O	2.041392685	110	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Dimethoxybenzene	150-78-7	COC1=CC=C(OC)C=C1	2.068185862	117	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,3-Benzofuran	271-89-6	C1=COC2=C1C=CC=C2	1.146128036	14	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,4-Diazabicyclo[2.2.2]octane	280-57-9	C(CN(C1)C2)N(C1)C2	3.238046103	1730	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Adamantane	281-23-2	C(CC(CC1CC23)C2)(C1)C3	-0.552841969	0.28	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Secobarbital,sodium salt	309-43-3	OC(N1)=NC(C(C(CCC)C)(CC=C)C1=O)=O	1.372912003	23.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Bromacil	314-40-9	BrC1=C(C)NC(=O)N(C(C)CC)C1=O	2.269512944	186	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,5-Dinitrophenol	329-71-5	OC1=C([N+](=O)[O-])C=CC([N+]([O-])=O)=C1	0.526339277	3.36	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Diuron	330-54-1	ClC1=C(C=CC(=C1)NC(=O)N(C)C)Cl	1.152288344	14.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Fluorophenyl ether	330-93-8	C1=CC(F)=CC=C1OC2=CC=C(F)C=C2	0.053078443	1.13	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1-Fluoro-4-nitrobenzene	350-46-9	FC1=CC=C([N+](=O)[O-])C=C1	1.45331834	28.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha,alpha,alpha-Trifluoro-m-tolunitrile	368-77-4	C(F)(F)(F)C1=CC(C#N)=CC=C1	1.678518379	47.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Fluoroaniline	371-40-4	NC1=CC=C(F)C=C1	1.227886705	16.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Chloro-6-fluorobenzaldehyde	387-45-1	C1(C=O)=C(Cl)C=CC=C1F	0.973589623	9.41	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha,alpha,alpha-4-Tetrafluoro-o-toluidine	393-39-5	NC1=C(C(F)(F)F)C=C(F)C=C1	1.471291711	29.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-Fluorobenzaldehyde	446-52-6	C1(C=O)=C(F)C=CC=C1	0.130333768	1.35	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha,alpha,alpha-Trifluoro-o-tolunitrile	447-60-9	C1=CC=CC(=C1C(F)(F)F)C#N	1.625312451	42.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
alpha,alpha,alpha-Trifluoro-m-tolualdehyde	454-89-7	C1(C=O)=CC(C(F)(F)F)=CC=C1	-0.034328029	0.924	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4-Fluoro-N-methylaniline	459-59-6	CNC1=CC=C(F)C=C1	1.584331224	38.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
[(1S)-endo]-(-)-Borneol	464-45-9	O[C@H]1[C@@]([C@@](C)2C)(C)CC[C@H]2C1	1.800717078	63.2	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
(1S)-(-)-Camphor	464-48-2	O=C(CC1C2)C(C2)(C1(C)C)C	1.230448921	17	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Cineole	470-82-6	CC2(C)OC1(C)CCC2CC1	2.008600172	102	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Neoabietic acid	471-77-2	O=[C@](O)[C@@]1(C)[C@]([C@]([C@]([H])2CC3)(C)CCC1)([H])CCC2=C\C3=C(C)/C	0.173186268	1.49	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,3-Dihydrobenzofuran	496-16-2	C1COC2=CC=CC=C12	1.912222057	81.7	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
exo-Norborneol	497-37-0	O[C@H]1[C@H](CC2)C[C@H]2C1	2.357934847	228	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Norbornylene	498-66-8	C1C2C=CC1CC2	1	10	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,6-Pyridinedicarboxylic acid	499-83-2	N1=C(C(=O)O)C=CC=C1C(=O)O	2.507855872	322	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3-Pyridinecarboxaldehyde	500-22-1	N1=CC(C=O)=CC=C1	1.214843848	16.4	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5-Nonanone	502-56-7	CCCCC(=O)CCCC	1.491361694	31	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,3-Dimethyl-1,3-butadiene	513-81-5	C=C(C)C(C)=C	0.839478047	6.91	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
